zip,slic,state,city
02184,0209,MA,BRAINTREE
02185,0209,MA,BRAINTREE
02186,0209,MA,MILTON
02187,0209,MA,MILTON VILLAGE
02188,0249,MA,WEYMOUTH
02189,0249,MA,WEYMOUTH
02190,0249,MA,WEYMOUTH
02191,0249,MA,WEYMOUTH
02199,0219,MA,BOSTON
02200,0219,,
02201,0219,MA,BOSTON
02203,0212,MA,BOSTON
02204,0212,MA,BOSTON
02205,0219,MA,BOSTON
02206,0219,MA,BOSTON
02211,0219,MA,BOSTON
02212,0219,MA,BOSTON
02215,0219,MA,BOSTON
02217,0219,MA,BOSTON
02222,0212,MA,BOSTON
02238,0219,MA,CAMBRIDGE
02241,0219,MA,BOSTON
02269,0209,MA,QUINCY
02283,0219,MA,BOSTON
02284,0219,MA,BOSTON
02293,0219,MA,BOSTON
02297,0219,MA,BOSTON
02298,0219,,
02301,0249,MA,BROCKTON
02302,0249,MA,BROCKTON
02303,0249,MA,BROCKTON
02304,0249,MA,BROCKTON
02305,0249,MA,BROCKTON
02322,0249,MA,AVON
02324,0249,MA,BRIDGEWATER
02325,0249,MA,BRIDGEWATER
02333,0249,MA,EAST BRIDGEWATER
02334,0249,MA,EASTON
02337,0249,MA,ELMWOOD
02339,0249,MA,HANOVER
02340,0249,MA,HANOVER
02341,0249,MA,HANSON
02343,0249,MA,HOLBROOK
02344,0249,MA,MIDDLEBORO
02346,0249,MA,MIDDLEBORO
02347,0249,MA,LAKEVILLE
02348,0249,MA,MIDDLEBORO
02349,0249,MA,MIDDLEBORO
02350,0249,MA,MONPONSETT
02351,0249,MA,ABINGTON
02356,0249,MA,NORTH EASTON
02357,0249,MA,NORTH EASTON
02368,0209,MA,RANDOLPH
02370,0249,MA,ROCKLAND
02375,0249,MA,SOUTH EASTON
02379,0249,MA,WEST BRIDGEWATER
02382,0249,MA,WHITMAN
02420,0186,MA,LEXINGTON
02421,0186,MA,LEXINGTON
02445,0219,MA,BROOKLINE
02446,0219,MA,BROOKLINE
02447,0219,MA,BROOKLINE VILLAGE
02451,0219,MA,WALTHAM
02452,0219,MA,WALTHAM
02453,0219,MA,WALTHAM
02454,0219,MA,WALTHAM
02455,0219,,
02456,0219,MA,NEW TOWN
02457,0209,MA,BABSON PARK
02458,0219,MA,NEWTON
02459,0219,MA,NEWTON CENTER
02460,0219,MA,NEWTONVILLE
02461,0219,MA,NEWTON HIGHLANDS
02462,0219,MA,NEWTON LOWER FALLS
02464,0219,MA,NEWTON UPPER FALLS
02465,0219,MA,WEST NEWTON
02466,0219,MA,AUBURNDALE
02467,0219,MA,CHESTNUT HILL
02468,0219,MA,WABAN
02471,0219,MA,WATERTOWN
02472,0219,MA,WATERTOWN
02474,0186,MA,ARLINGTON
02475,0186,MA,ARLINGTON HEIGHTS
02476,0186,MA,ARLINGTON
02477,0219,MA,WATERTOWN
02478,0219,MA,BELMONT
02479,0219,MA,WAVERLEY
02481,0209,MA,WELLESLEY HILLS
02482,0209,MA,WELLESLEY
02492,0209,MA,NEEDHAM
02493,0209,MA,WESTON
02494,0209,MA,NEEDHAM HEIGHTS
02495,0219,MA,NONANTUM
02535,0250,MA,CHILMARK
02536,0269,MA,EAST FALMOUTH
02537,0269,MA,EAST SANDWICH
02539,0250,MA,EDGARTOWN
02540,0269,MA,FALMOUTH
02541,0269,MA,FALMOUTH
02543,0269,MA,WOODS HOLE
02552,0250,MA,MENEMSHA
02554,0251,MA,NANTUCKET
02556,0269,MA,NORTH FALMOUTH
02557,0250,MA,OAK BLUFFS
02563,0269,MA,SANDWICH
02564,0251,MA,SIASCONSET
02565,0269,MA,SILVER BEACH
02568,0250,MA,VINEYARD HAVEN
02573,0250,MA,WEST CHOP
02574,0269,MA,WEST FALMOUTH
02575,0250,MA,WEST TISBURY
02584,0251,MA,NANTUCKET
02601,0269,MA,HYANNIS
02630,0269,MA,BARNSTABLE
02631,0269,MA,BREWSTER
02632,0269,MA,CENTERVILLE
02633,0269,MA,CHATHAM
02634,0269,MA,CENTERVILLE
02635,0269,MA,COTUIT
02636,0269,MA,CENTERVILLE
02637,0269,MA,CUMMAQUID
02638,0269,MA,DENNIS
02639,0269,MA,DENNIS PORT
02641,0269,MA,EAST DENNIS
02642,0269,MA,EASTHAM
02643,0269,MA,EAST ORLEANS
02644,0269,MA,FORESTDALE
02645,0269,MA,HARWICH
02646,0269,MA,HARWICH PORT
02647,0269,MA,HYANNIS PORT
02648,0269,MA,MARSTONS MILLS
02649,0269,MA,MASHPEE
02650,0269,MA,NORTH CHATHAM
02651,0269,MA,NORTH EASTHAM
02652,0269,MA,NORTH TRURO
02653,0269,MA,ORLEANS
02655,0269,MA,OSTERVILLE
02657,0269,MA,PROVINCETOWN
02659,0269,MA,SOUTH CHATHAM
02660,0269,MA,SOUTH DENNIS
02661,0269,MA,SOUTH HARWICH
02662,0269,MA,SOUTH ORLEANS
02663,0269,MA,SOUTH WELLFLEET
02664,0269,MA,SOUTH YARMOUTH
02666,0269,MA,TRURO
02667,0269,MA,WELLFLEET
02668,0269,MA,WEST BARNSTABLE
02669,0269,MA,WEST CHATHAM
02670,0269,MA,WEST DENNIS
02671,0269,MA,WEST HARWICH
02672,0269,MA,WEST HYANNISPORT
02673,0269,MA,WEST YARMOUTH
02675,0269,MA,YARMOUTH PORT
02702,0270,MA,ASSONET
02712,0220,MA,CHARTLEY
02713,0270,MA,CUTTYHUNK
02714,0270,MA,DARTMOUTH
02715,0249,MA,DIGHTON
02717,0270,MA,EAST FREETOWN
02718,0249,MA,EAST TAUNTON
02719,0270,MA,FAIRHAVEN
02720,0270,MA,FALL RIVER
02721,0270,MA,FALL RIVER
02722,0270,MA,FALL RIVER
02723,0270,MA,FALL RIVER
02724,0270,MA,FALL RIVER
02725,0299,MA,SOMERSET
02726,0299,MA,SOMERSET
02738,0270,MA,MARION
02739,0270,MA,MATTAPOISETT
02740,0270,MA,NEW BEDFORD
02741,0270,MA,NEW BEDFORD
02742,0270,MA,NEW BEDFORD
02743,0270,MA,ACUSHNET
02744,0270,MA,NEW BEDFORD
02745,0270,MA,NEW BEDFORD
02746,0270,MA,NEW BEDFORD
02747,0270,MA,NORTH DARTMOUTH
02748,0270,MA,SOUTH DARTMOUTH
02762,0220,MA,PLAINVILLE
02764,0249,MA,NORTH DIGHTON
02766,0220,MA,NORTON
02767,0249,MA,RAYNHAM
